Billionaires per million inhabitants,2004,2005,2006,2007
Lebanon,0.26474511134915,0,0.77438339721996,1.02007559780255
Lesotho,0,0,0,0
Liberia,0,0,0,0
Libya,0,0,0,0
Liechtenstein,29.9078837181481,29.6586291781594,0,0
Lithuania,0,0,0,0
Luxembourg,0,0,0,0
"Macao, China",0,0,0,0
"Macedonia, FYR",0,0,0,0
Madagascar,0,0,0,0
Malawi,0,0,0,0
Malaysia,0.21256260287499,0.25048912175842,0.3280589922241,0.36259201074433
Maldives,0,0,0,0
Mali,0,0,0,0
Malta,0,0,0,0
Marshall Islands,0,0,0,0
Martinique,0,0,0,0
Mauritania,0,0,0,0
Mauritius,0,0,0,0
Mayotte,0,0,0,0
Mexico,0.10480223465803,0.094159384701565,0.093066953995376,0.091995566071303
"Micronesia, Fed. Sts.",0,0,0,0
Moldova,0,0,0,0
Monaco,0,30.8556265234966,30.7285745014289,30.6081846285697
Mongolia,0,0,0,0
Montenegro,0,0,0,0
Montserrat,0,0,0,0
Morocco,0,0,0,0
Mozambique,0,0,0,0
Myanmar,0,0,0,0
Namibia,0,0,0,0
Nauru,0,0,0,0
Nepal,0,0,0,0
Netherlands,0.24512509009113,0.24379108298764,0.24254976560294,0.24139119053713
Netherlands Antilles,0,0,0,0
New Caledonia,0,0,0,0
New Zealand,0,0,0.49066028154087,0.72890352743143
Ngorno-Karabakh,0,0,0,0
Nicaragua,0,0,0,0
Niger,0,0,0,0
Nigeria,0,0,0,0
Niue,0,0,0,0
Norfolk Island,0,0,0,0
Northern Cyprus,0,0,0,0
Northern Mariana Islands,0,0,0,0
Norway,0.87440103529083,0.8708827114759,0.86752464854408,0.86431805521523
Oman,0,0,0,0.31202250805564
Pakistan,0,0,0,0
Palau,0,0,0,0
Panama,0,0,0,0
Papua New Guinea,0,0,0,0
Paraguay,0,0,0,0
Peru,0,0,0,0
Philippines,0.023190638282547,0.034146213151384,0.033531288274219,0.03293905757206
Pitcairn,0,0,0,0
Poland,0,0.051869931788965,0.07784752829816,0.12980862755389
Portugal,0.19003919083213,0.094641296237478,0.094287408765146,0.093959918202254
Puerto Rico,0,0,0,0
Qatar,0,0,0,0
Reunion,0,0,0,0
Romania,0,0,0,0.044891250048932
Russia,0.17364239206453,0.1882578568423,0.23094116081105,0.37227078541444
Rwanda,0,0,0,0
Saint Barthélemy,0,0,0,0
Saint Helena,0,0,0,0
Saint Kitts and Nevis,0,0,0,0
Saint Lucia,0,0,0,0
Saint Martin,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0
Saint-Pierre-et-Miquelon,0,0,0,0
Samoa,0,0,0,0
San Marino,0,0,0,0
Sao Tome and Principe,0,0,0,0
Saudi Arabia,0.31012634624878,0.26497487527159,0.40710990053898,0.4709967791791
Senegal,0,0,0,0
Serbia,0,0,0,0.098519595301206
Serbia and Montenegro,0,0,0,0
Serbia excluding Kosovo,0,0,0,0
Seychelles,0,0,0,0
Sierra Leone,0,0,0,0
Singapore,1.14839753756006,0.90380774201712,0.89044221586545,0.87853988428312
Slovak Republic,0,0,0,0
Slovenia,0,0,0,0
Solomon Islands,0,0,0,0
Somalia,0,0,0,0
Somaliland,0,0,0,0
South Africa,0.044995924494139,0.067652688057785,0.067892293041151,0.068185184050449
South Ossetia,0,0,0,0
Spain,0.19860588598334,0.24788392646751,0.2475379749245,0.49445969042225
Sri Lanka,0,0,0,0
Sudan,0,0,0,0
Suriname,0,0,0,0
Svalbard,0,0,0,0
Swaziland,0,0,0,0
Sweden,0.8902341315766,0.99980292773402,0.8872527947354,0.88582903853888
Switzerland,0.93948798173421,1.06818063468623,1.06327354811991,1.05894890584766
Syria,0,0,0,0
Taiwan,0.43956356963948,0.30575183852948,0.21705075171838,0.3452100849329
Tajikistan,0,0,0,0
Tanzania,0,0,0,0
Thailand,0.031381686874564,0.04673952694177,0.046416926582115,0.046105507012348
Timor-Leste,0,0,0,0
Togo,0,0,0,0
Tokelau,0,0,0,0
Tonga,0,0,0,0
Transnistria,0,0,0,0
Trinidad and Tobago,0,0,0,0
Tunisia,0,0,0,0
Turkey,0.087090416312221,0.11484260411979,0.29823632411063,0.35132764680025
Turkmenistan,0,0,0,0
Turks and Caicos Islands,0,0,0,0
Tuvalu,0,0,0,0
Uganda,0,0,0,0
Ukraine,0,0.063834180927134,0.064224953809413,0.15074540696511
United Arab Emirates,0.7924197130252,0.78027100372501,1.92107235795879,1.89210032975525
United Kingdom,0.28206073172394,0.39707844898577,0.39597979532893,0.47716016907792
United States,0.94530353937241,1.15306270327253,1.24311339055441,1.37809680892319
Uruguay,0,0,0,0
USSR,0,0,0,0
Uzbekistan,0,0,0,0
Wallis et Futuna,0,0,0,0
Vanuatu,0,0,0,0
Venezuela,0.079944400268501,0.078816861180769,0.07772896183061,0.076673410604285
West Bank and Gaza,0,0,0,0
West Germany,0,0,0,0
Western Sahara,0,0,0,0
Vietnam,0,0,0,0
Virgin Islands (U.S.),0,0,0,0
Yemen Arab Republic (Former),0,0,0,0
Yemen Democratic (Former),0,0,0,0
"Yemen, Rep.",0,0,0,0
Yugoslavia,0,0,0,0
Zambia,0,0,0,0
Zimbabwe,0,0,0,0
Åland,0,0,0,0
